source,utime,name,name_URL,reaction_count,like_count,comments_count,text
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1568089251,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,2,2,0,ช่วงนี้รู้สึกดวงไม่ดี เลยไปหาหมอดูให้ช่วยแก้เคล็ดให้ ... หมอดูเลยพาไปหา outsource เลือกได้ว่าเอา ทีมวัดโพธิ์ หรือ ทีมรัชดา 😆ช่วงนี้รู้สึกดวงไม่ดี
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1568003407,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,4,1,1,เช้าวันนี้ง่วงจัง หาว 2 ครั้งแรกโดนถามว่าเมื่อคืนนอนดึกเหรอ? ... พอหาวครั้งที่ 3 โดนด่าทันที ว่าทำไมเป็นคนสามหาวแบบนี้!!! 😡เช้าวันนี้ง่วงจัง หาว 2
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1567838641,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,3,1,0,ภรรยาชวนไปเที่ยวพรมแดนประเทศรัสเซีย-ยูเครน ... จะได้รู้จักว่าที่ไหน ใครเมีย!! ... #พ่อบ้านใจกล้า
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1567644958,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,5,2,0,หัวหน้าเรียกเข้าห้องประชุม ให้ brief งานลูกค้า ไม่ต้องละเอียด เอาหยาบๆ พอ ... เลยจัดหนักให้จ้า!! มาทั้งสวนสัตว์เลย 🤩หัวหน้าเรียกเข้าห้องประชุม ให้ brief
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1567575595,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,3,1,0,เป็นคนชอบธรรมชาติ ทะเล ภูเขา น้ำตก งี้ ... ถ้ามีลาบ ส้มตำ
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1567482313,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,4,3,0,เอารถเข้าอู่ซ่อม ครบกำหนดถ่ายน้ำมันเครื่องพอดี ... แต่ลืมเอากล้องถ่ายรูปไป ใช้กล้องมือถือถ่ายไปก่อนละกัน ...เอารถเข้าอู่ซ่อม
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1567216027,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,1,1,0,คนที่นอนกรน ช่วงไม่สบายต้องระวัง ไม่ควรไอหนักๆ ก่อนนอน ... ไม่งั้น
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1567136834,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,8,2,1,นานๆ ทีจะได้เข้ามาช็อปปิ้งในเมือง พอดีชอบสะสมโคมไฟเป็นงานอดิเรก
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1567043474,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,8,5,0,จะเดินข้ามฝั่งถนน เลยเดินไปขึ้นสะพานลอย ... แต่ขึ้นไม่ได้ เพราะว่ามันลอยอยู่
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1566781830,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,12,2,3,เมื่อวานกลับบ้านมืดๆ ลืมเอากุญแจบ้านไป เลยลองใช้เทียนไขดู ... มันก็สว่างขึ้นนะ
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1566029229,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,2,0,0,จะหาบทความที่จะอ่านว่าอยู่หน้าไหน ก็ต้องเปิดดูจากสารบัญ ... แต่ถึงจะรู้หน้า
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1565832848,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,4,3,1,เวลาเจอใครทำอะไรดีๆ อยากให้กำลังใจ ให้ชมว่า Top Visit ... แปลว่า #ยอดเยี่ยม 👍เวลาเจอใครทำอะไรดีๆ อยากให้กำลังใจ ให้ชมว่า Top Visit ... แปลว่า #ยอดเยี่ยม
นี่มุกเผือกหรือเปลือกหอย-2570332386312311,1565400863,แสดงความคิดเห็น,https://www.facebook.com/%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%AD%E0%B8%A2-2570332386312311/#,5,2,1,พอไปถึงสนามบิน ก็ขึ้นบันไดไปดูตารางเที่ยวบิน ... ปรากฏว่าเที่ยวบินไม่เลื่อน
